uid	sample	species	rank	ecotype	collection
GCF_000015645.1	AS9601	Prochlorococcus	c__Cyanobacteriia	HL_II-HIGH	Delmont
GCF_000007925.1	CCMP1375	Prochlorococcus	c__Cyanobacteriia	LL_II	Delmont
GCF_000759875.1	EQPAC1	Prochlorococcus	c__Cyanobacteriia	HL_I	Delmont
GCF_000759885.1	GP2	Prochlorococcus	c__Cyanobacteriia	HL_II-MEDIUM	Delmont
GCF_000760155.1	LG	Prochlorococcus	c__Cyanobacteriia	LL_II	Delmont
GCF_000011465.1	MED4	Prochlorococcus	c__Cyanobacteriia	HL_I	Delmont
GCF_000759855.1	MIT9107	Prochlorococcus	c__Cyanobacteriia	HL_II-LOW	Delmont
GCF_000759865.1	MIT9116	Prochlorococcus	c__Cyanobacteriia	HL_II-LOW	Delmont
GCF_000759935.1	MIT9123	Prochlorococcus	c__Cyanobacteriia	HL_II-LOW	Delmont
GCF_000759955.1	MIT9201	Prochlorococcus	c__Cyanobacteriia	HL_II-MEDIUM	Delmont
GCF_000158595.1	MIT9202	Prochlorococcus	c__Cyanobacteriia	HL_II-MEDIUM	Delmont
GCF_000018585.1	MIT9211	Prochlorococcus	c__Cyanobacteriia	LL_III	Delmont
GCF_000018065.1	MIT9215	Prochlorococcus	c__Cyanobacteriia	HL_II-MEDIUM	Delmont
GCF_000015965.1	MIT9301	Prochlorococcus	c__Cyanobacteriia	HL_II-HIGH	Delmont
GCF_000759975.1	MIT9302	Prochlorococcus	c__Cyanobacteriia	HL_II-MEDIUM	Delmont
GCA_000015705.1	MIT9303	Prochlorococcus	c__Cyanobacteriia	LL_IV	Delmont
GCF_000760015.1	MIT9311	Prochlorococcus	c__Cyanobacteriia	HL_II-MEDIUM	Delmont
GCF_000012645.1	MIT9312	Prochlorococcus	c__Cyanobacteriia	HL_II-MEDIUM	Delmont
GCF_000011485.1	MIT9313	Prochlorococcus	c__Cyanobacteriia	LL_IV	Delmont
GCF_000760035.1	MIT9314	Prochlorococcus	c__Cyanobacteriia	HL_II-HIGH	Delmont
GCF_000760055.1	MIT9321	Prochlorococcus	c__Cyanobacteriia	HL_II-MEDIUM	Delmont
GCF_000760075.1	MIT9322	Prochlorococcus	c__Cyanobacteriia	HL_II-MEDIUM	Delmont
GCF_000760095.1	MIT9401	Prochlorococcus	c__Cyanobacteriia	HL_II-MEDIUM	Delmont
GCF_000015665.1	MIT9515	Prochlorococcus	c__Cyanobacteriia	HL_I	Delmont
GCF_000015685.1	NATL1A	Prochlorococcus	c__Cyanobacteriia	LL_I	Delmont
GCF_000012465.1	NATL2A	Prochlorococcus	c__Cyanobacteriia	LL_I	Delmont
GCF_000760235.1	PAC1	Prochlorococcus	c__Cyanobacteriia	LL_I	Delmont
GCF_000760115.1	SB	Prochlorococcus	c__Cyanobacteriia	HL_II-HIGH	Delmont
GCF_000760255.1	SS2	Prochlorococcus	c__Cyanobacteriia	LL_II	Delmont
GCF_000760275.1	SS35	Prochlorococcus	c__Cyanobacteriia	LL_II	Delmont
GCF_000760355.1	SS51	Prochlorococcus	c__Cyanobacteriia	LL_II	Delmont
GCA_003284445.1	AG-311-D23	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283835.1	AG-311-I02	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003284435.1	AG-311-I09	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003284425.1	AG-311-J05	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003284375.1	AG-311-J23	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283825.1	AG-311-K14	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283785.1	AG-311-K21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003284345.1	AG-311-K22	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003283775.1	AG-311-L21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003284355.1	AG-311-L23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003284365.1	AG-311-M15	Prochlorococcus	c__Cyanobacteriia	NA	Berube
GCA_003284315.1	AG-311-M23	Prochlorococcus	c__Cyanobacteriia	HL	Berube
GCA_003284285.1	AG-311-N19	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003284275.1	AG-313-A04	Pelagibacteraceae	c__Alphaproteobacteria	NA	Berube
GCA_003284265.1	AG-313-A07	SAR116	NA	NA	Berube
GCA_003284215.1	AG-313-D11	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003284195.1	AG-313-D15	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003283765.1	AG-313-N18	SAR86	c__Gammaproteobacteria	NA	Berube
GCA_003284205.1	AG-315-A03	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283745.1	AG-315-B03	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003284185.1	AG-315-C08	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283695.1	AG-315-C22	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283685.1	AG-315-D17	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283675.1	AG-315-I10	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283665.1	AG-315-I14	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283635.1	AG-315-J23	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003284145.1	AG-315-K21	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283615.1	AG-315-L02	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003284115.1	AG-315-L09	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003284125.1	AG-315-M16	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003284105.1	AG-315-N18	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003283595.1	AG-315-O03	Prochlorococcus	c__Cyanobacteriia	LL	Berube
GCA_003284055.1	AG-316-A05	Prochlorococcus	c__Cyanobacteriia	NA	Berube
GCA_003284045.1	AG-316-A20	Uncultured-bacterium	NA	NA	Berube
GCA_003284025.1	AG-316-B04	Uncultured-bacterium	NA	NA	Berube
GCA_003283585.1	AG-316-D23	Uncultured-bacterium	NA	NA	Berube
GCA_003284035.1	AG-316-G21	Prochlorococcus	c__Cyanobacteriia	NA	Berube
GCA_003283555.1	AG-316-J07	Uncultured-bacterium	NA	NA	Berube
