uid	sample	species	rank	ecotype	collection
GCA_000877625.1	49	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000519385.2	50	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS1	Yang
GCF_000519365.2	605	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000877405.1	846	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000524535.2	861	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000877485.1	863	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000877475.1	930	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000454455.1	949	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001951115.1	1682	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000519405.2	3256	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000454245.1	3259	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000877495.1	3324	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCA_000877615.1	3355	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCA_000877595.1	3631	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCA_000877755.1	3644	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCA_000877765.1	3646	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000454205.1	10290	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000500105.2	10296	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001188185.2	10329	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000500755.2	12310	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000877535.1	12315	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000958645.1	22702	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001895505.1	100135	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895615.1	100136	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895665.1	100138	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895585.1	100139	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895705.1	100142	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895515.1	100143	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895685.1	100144	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895695.1	100145	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895745.1	100146	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895535.1	100147	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895525.1	100148	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895345.1	100149	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895425.1	100150	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895595.1	100151	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895435.1	100152	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895445.1	100153	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895365.1	100154	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895465.1	100156	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895635.1	100157	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001895355.1	100158	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCA_000877675.1	901128	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	Hybrid	Yang
GCF_000510605.2	970107	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000786855.1	4.2548	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000878815.1	04-1290	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001609555.1	04-2192	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000951795.1	04-2549	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001610595.1	04-2550	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000975195.1	04-2551	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001608505.1	05-3133	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_001609435.1	05-4792	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001856035.1	06-043	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000972045.1	07-1339	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001608945.1	07-2964	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000960565.1	07-2965	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000960645.1	08-0278	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000786865.1	9.5357	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609025.1	09-1772	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000878785.1	09-3216	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000960655.1	09-3217	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_000974905.1	09-3218	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001608935.1	09-3219	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000972125.1	09-4434	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000960685.1	09-4435	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001608525.1	09-4436	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000972055.1	09-4660	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001559885.1	09-4661	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609015.1	09-4662	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001006115.1	09-4663	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000972035.1	09-4664	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001608575.1	09-4665	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001609575.1	09-4666	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_000972025.1	09-4681	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878805.1	10-4241	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878755.1	10-4242	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000972105.1	10-4243	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001006125.1	10-4244	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878725.1	10-4245	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878705.1	10-4246	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878665.1	10-4247	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878675.1	10-4248	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001006105.1	10-4251	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppAsia	Yang
GCF_001006195.1	10-4255	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppUS2	Yang
GCF_000878735.1	10-4274	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_001006185.1	10-4287	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
GCF_000878645.1	10-4288	Vibrio parahaemolyticus	s__Vibrio parahaemolyticus	VppX	Yang
