target name	accession	tlen	query name	accession	qlen	E-value	score	bias	#	of	c-Evalue	i-Evalue	score	bias	from	to	from	to	from	to	acc	description of target
Abhydrolase_6	PF12697.7	220	TARA_ION_MAG_00012_000000000001_1	-	227	9.5e-13	49.3	0.0	1	1	1.6e-16	9.6e-13	49.2	0.0	1	97	32	138	32	218	0.73	Alpha/beta hydrolase family
PetM	PF08041.11	30	TARA_ION_MAG_00012_000000000001_2	-	33	7.7e-10	38.2	1.5	1	1	4.5e-14	8.1e-10	38.1	1.5	2	29	4	31	3	32	0.97	PetM family of cytochrome b6f complex subunit 7
NAD_binding_10	PF13460.6	184	TARA_ION_MAG_00012_000000000001_3	-	321	6.7e-24	84.8	0.0	1	1	2.8e-27	1.3e-23	83.9	0.0	1	182	7	191	7	193	0.86	NAD(P)H-binding
NmrA	PF05368.13	233	TARA_ION_MAG_00012_000000000001_3	-	321	1.8e-21	76.8	0.0	1	1	5.1e-25	2.3e-21	76.4	0.0	1	230	3	226	3	260	0.92	NmrA-like family
eIF-1a	PF01176.19	64	TARA_ION_MAG_00012_000000000001_5	-	88	1e-18	66.8	0.0	1	1	7.3e-23	1.3e-18	66.5	0.0	1	64	2	67	2	67	0.95	Translation initiation factor 1A / IF-1
Pyr_redox_2	PF07992.14	294	TARA_ION_MAG_00012_000000000001_6	-	454	9.8e-48	162.9	0.0	1	1	6.6e-51	1.5e-47	162.3	0.0	2	292	9	297	8	299	0.89	Pyridine nucleotide-disulphide oxidoreductase
Pyr_redox_3	PF13738.6	305	TARA_ION_MAG_00012_000000000001_6	-	454	2.9e-24	85.9	1.2	1	1	1.2e-23	2.6e-20	72.9	0.0	102	305	88	282	80	282	0.85	Pyridine nucleotide-disulphide oxidoreductase
Pyr_redox	PF00070.27	81	TARA_ION_MAG_00012_000000000001_6	-	454	1.3e-15	57.7	0.1	1	1	1.1e-16	2.4e-13	50.4	0.0	2	79	156	227	155	233	0.94	Pyridine nucleotide-disulphide oxidoreductase
AlaDh_PNT_C	PF01262.21	214	TARA_ION_MAG_00012_000000000001_9	-	381	3.9e-70	235.5	0.1	1	1	8e-74	7.2e-70	234.6	0.1	1	213	145	370	145	371	0.97	Alanine dehydrogenase/PNT, C-terminal domain
AlaDh_PNT_N	PF05222.15	136	TARA_ION_MAG_00012_000000000001_9	-	381	2.8e-40	137.8	0.0	1	1	5e-44	4.5e-40	137.1	0.0	2	136	6	141	5	141	0.98	Alanine dehydrogenase/PNT, N-terminal domain
PNTB_4TM	PF12769.7	82	TARA_ION_MAG_00012_000000000001_10	-	98	1e-27	96.4	1.8	1	1	6.6e-32	1.2e-27	96.2	1.8	2	82	7	91	6	91	0.91	4TM region of pyridine nucleotide transhydrogenase, mitoch
PNTB	PF02233.16	460	TARA_ION_MAG_00012_000000000001_11	-	484	1.5e-172	574.7	20.2	1	1	9.6e-177	1.7e-172	574.5	20.2	4	459	13	473	10	474	0.93	NAD(P) transhydrogenase beta subunit
Abhydrolase_4	PF08386.10	103	TARA_ION_MAG_00012_000000000001_12	-	353	4.7e-05	23.4	0.0	1	1	2.7e-08	9.7e-05	22.4	0.0	30	88	283	344	262	351	0.83	TAP-like protein
DXP_reductoisom	PF02670.16	129	TARA_ION_MAG_00012_000000000001_14	-	410	2.4e-46	157.6	0.8	1	1	6.3e-50	3.8e-46	157.0	0.8	1	129	4	134	4	134	0.97	1-deoxy-D-xylulose 5-phosphate reductoisomerase
DXPR_C	PF13288.6	115	TARA_ION_MAG_00012_000000000001_14	-	410	1.9e-42	144.1	0.0	1	1	5.6e-46	3.3e-42	143.4	0.0	1	113	275	392	275	394	0.95	DXP reductoisomerase C-terminal domain
DXP_redisom_C	PF08436.12	84	TARA_ION_MAG_00012_000000000001_14	-	410	2.1e-37	127.1	0.0	1	1	7.4e-41	4.4e-37	126.1	0.0	1	84	148	243	148	243	0.93	1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain
tRNA-synt_1e	PF01406.19	301	TARA_ION_MAG_00012_000000000001_15	-	494	5.3e-127	423.3	1.8	1	1	2e-130	1.2e-126	422.2	1.8	2	299	15	316	14	318	0.97	tRNA synthetases class I (C) catalytic domain
