uid	sample	species	rank	ecotype	collection
GCF_002113205.1	B16	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002112855.1	B40	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002112385.1	R39	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112835.1	B39	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002113215.1	B15	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002112395.1	R38	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112605.1	R22	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112425.1	R36	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112305.1	R45	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112445.1	R35	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112365.1	R41	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002113285.1	B11	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002113055.1	B27	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002112685.1	R15	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112315.1	R47	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112455.1	R33	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002113705.1	B25	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002113045.1	B26	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002113765.1	B17	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002113405.1	R31	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002113465.1	R24	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112915.1	B34	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002113335.1	R44	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112905.1	B36	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002112745.1	B7	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002112965.1	B31	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002112565.1	R25	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112995.1	B30	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002113655.1	B33	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002113485.1	R19	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112575.1	R23	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112255.1	R5	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112985.1	B29	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002112515.1	R29	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002113645.1	B35	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002113625.1	B38	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002113495.1	R16	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112625.1	R20	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112485.1	R32	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112635.1	R21	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112885.1	B37	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002113595.1	B3	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002112345.1	R43	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002113735.1	B21	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002113685.1	B2	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002112925.1	B32	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002112705.1	R12	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002113425.1	R34	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002113365.1	R40	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002113445.1	R27	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002112285.1	R4	Pseudomonas koreensis	f__Pseudomonadaceae	rhizosphere	Lopez
GCF_002113125.1	B20	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
GCF_002113135.1	B1	Pseudomonas koreensis	f__Pseudomonadaceae	soil	Lopez
